Neighborhood,Crime,Number of Cases,Date
St. Anthony East,Auto Theft,1.0,2020-11-01
St. Anthony East,Burglary,0.0,2020-11-01
St. Anthony East,Homicide,0.0,2020-11-01
St. Anthony East,Larceny,1.0,2020-11-01
St. Anthony East,Rape,0.0,2020-11-01
St. Anthony East,Robbery,0.0,2020-11-01
St. Anthony West,Aggravated Assault,0.0,2020-11-01
St. Anthony West,Arson,0.0,2020-11-01
St. Anthony West,Auto Theft,0.0,2020-11-01
St. Anthony West,Burglary,2.0,2020-11-01
St. Anthony West,Homicide,0.0,2020-11-01
St. Anthony West,Larceny,11.0,2020-11-01
St. Anthony West,Rape,0.0,2020-11-01
St. Anthony West,Robbery,0.0,2020-11-01
Standish,Aggravated Assault,1.0,2020-11-01
Standish,Arson,0.0,2020-11-01
Standish,Auto Theft,3.0,2020-11-01
Standish,Burglary,5.0,2020-11-01
Standish,Homicide,0.0,2020-11-01
Standish,Larceny,10.0,2020-11-01
Standish,Rape,0.0,2020-11-01
Standish,Robbery,1.0,2020-11-01
Steven's Square - Loring Heights,Aggravated Assault,5.0,2020-11-01
Steven's Square - Loring Heights,Arson,0.0,2020-11-01
Steven's Square - Loring Heights,Auto Theft,4.0,2020-11-01
Steven's Square - Loring Heights,Burglary,7.0,2020-11-01
Steven's Square - Loring Heights,Homicide,0.0,2020-11-01
Steven's Square - Loring Heights,Larceny,15.0,2020-11-01
Steven's Square - Loring Heights,Rape,0.0,2020-11-01
Steven's Square - Loring Heights,Robbery,0.0,2020-11-01
Sumner - Glenwood,Aggravated Assault,2.0,2020-11-01
Sumner - Glenwood,Arson,0.0,2020-11-01
Sumner - Glenwood,Auto Theft,1.0,2020-11-01
Sumner - Glenwood,Burglary,2.0,2020-11-01
Sumner - Glenwood,Homicide,0.0,2020-11-01
Sumner - Glenwood,Larceny,5.0,2020-11-01
Sumner - Glenwood,Rape,0.0,2020-11-01
Sumner - Glenwood,Robbery,0.0,2020-11-01
Tangletown,Aggravated Assault,0.0,2020-11-01
Tangletown,Arson,0.0,2020-11-01
Tangletown,Auto Theft,4.0,2020-11-01
Tangletown,Burglary,2.0,2020-11-01
Tangletown,Homicide,0.0,2020-11-01
Tangletown,Larceny,3.0,2020-11-01
Tangletown,Rape,0.0,2020-11-01
Tangletown,Robbery,1.0,2020-11-01
University of Minnesota,Aggravated Assault,0.0,2020-11-01
University of Minnesota,Arson,0.0,2020-11-01
University of Minnesota,Auto Theft,1.0,2020-11-01
University of Minnesota,Burglary,0.0,2020-11-01
University of Minnesota,Homicide,0.0,2020-11-01
University of Minnesota,Larceny,2.0,2020-11-01
University of Minnesota,Rape,1.0,2020-11-01
University of Minnesota,Robbery,0.0,2020-11-01
Ventura Village,Aggravated Assault,7.0,2020-11-01
Ventura Village,Arson,0.0,2020-11-01
Ventura Village,Auto Theft,12.0,2020-11-01
Ventura Village,Burglary,9.0,2020-11-01
Ventura Village,Homicide,0.0,2020-11-01
Ventura Village,Larceny,23.0,2020-11-01
Ventura Village,Rape,1.0,2020-11-01
Ventura Village,Robbery,4.0,2020-11-01
Victory,Aggravated Assault,0.0,2020-11-01
Victory,Arson,0.0,2020-11-01
Victory,Auto Theft,2.0,2020-11-01
Victory,Burglary,2.0,2020-11-01
Victory,Homicide,0.0,2020-11-01
Victory,Larceny,7.0,2020-11-01
Victory,Rape,1.0,2020-11-01
Victory,Robbery,0.0,2020-11-01
Waite Park,Aggravated Assault,2.0,2020-11-01
Waite Park,Arson,0.0,2020-11-01
Waite Park,Auto Theft,0.0,2020-11-01
Waite Park,Burglary,1.0,2020-11-01
Waite Park,Homicide,0.0,2020-11-01
Waite Park,Larceny,7.0,2020-11-01
Waite Park,Rape,0.0,2020-11-01
Waite Park,Robbery,0.0,2020-11-01
Webber - Camden,Aggravated Assault,6.0,2020-11-01
Webber - Camden,Arson,0.0,2020-11-01
Webber - Camden,Auto Theft,5.0,2020-11-01
Webber - Camden,Burglary,1.0,2020-11-01
Webber - Camden,Homicide,1.0,2020-11-01
Webber - Camden,Larceny,10.0,2020-11-01
Webber - Camden,Rape,0.0,2020-11-01
Webber - Camden,Robbery,1.0,2020-11-01
Wenonah,Aggravated Assault,5.0,2020-11-01
Wenonah,Arson,0.0,2020-11-01
Wenonah,Auto Theft,1.0,2020-11-01
Wenonah,Burglary,4.0,2020-11-01
Wenonah,Homicide,1.0,2020-11-01
Wenonah,Larceny,7.0,2020-11-01
Wenonah,Rape,0.0,2020-11-01
Wenonah,Robbery,0.0,2020-11-01
West Maka Ska,Aggravated Assault,0.0,2020-11-01
West Maka Ska,Arson,0.0,2020-11-01
West Maka Ska,Auto Theft,2.0,2020-11-01
West Maka Ska,Burglary,4.0,2020-11-01
West Maka Ska,Homicide,0.0,2020-11-01
West Maka Ska,Larceny,5.0,2020-11-01
West Maka Ska,Rape,1.0,2020-11-01
West Maka Ska,Robbery,1.0,2020-11-01
Whittier,Aggravated Assault,7.0,2020-11-01
Whittier,Arson,2.0,2020-11-01
Whittier,Auto Theft,17.0,2020-11-01
Whittier,Burglary,14.0,2020-11-01
Whittier,Homicide,0.0,2020-11-01
Whittier,Larceny,34.0,2020-11-01
Whittier,Rape,2.0,2020-11-01
Whittier,Robbery,9.0,2020-11-01
Willard - Hay,Aggravated Assault,9.0,2020-11-01
Willard - Hay,Arson,0.0,2020-11-01
Willard - Hay,Auto Theft,12.0,2020-11-01
Willard - Hay,Burglary,5.0,2020-11-01
Willard - Hay,Homicide,0.0,2020-11-01
Willard - Hay,Larceny,14.0,2020-11-01
Willard - Hay,Rape,0.0,2020-11-01
Willard - Hay,Robbery,3.0,2020-11-01
Windom,Aggravated Assault,1.0,2020-11-01
Windom,Arson,0.0,2020-11-01
Windom,Auto Theft,2.0,2020-11-01
Windom,Burglary,4.0,2020-11-01
Windom,Homicide,0.0,2020-11-01
Windom,Larceny,14.0,2020-11-01
Windom,Rape,0.0,2020-11-01
Windom,Robbery,0.0,2020-11-01
Windom Park,Aggravated Assault,1.0,2020-11-01
Windom Park,Arson,0.0,2020-11-01
Windom Park,Auto Theft,2.0,2020-11-01
Windom Park,Burglary,3.0,2020-11-01
Windom Park,Homicide,0.0,2020-11-01
Windom Park,Larceny,8.0,2020-11-01
Windom Park,Rape,0.0,2020-11-01
Windom Park,Robbery,1.0,2020-11-01
Armatage,Aggravated Assault,0.0,2020-12-01
Armatage,Arson,0.0,2020-12-01
Armatage,Auto Theft,2.0,2020-12-01
Armatage,Burglary,0.0,2020-12-01
Armatage,Homicide,0.0,2020-12-01
Armatage,Larceny,6.0,2020-12-01
Armatage,Rape,1.0,2020-12-01
Armatage,Robbery,0.0,2020-12-01
Audubon Park,Aggravated Assault,1.0,2020-12-01
Audubon Park,Arson,0.0,2020-12-01
Audubon Park,Auto Theft,3.0,2020-12-01
Audubon Park,Burglary,0.0,2020-12-01
Audubon Park,Homicide,0.0,2020-12-01
Audubon Park,Larceny,10.0,2020-12-01
Audubon Park,Rape,0.0,2020-12-01
Audubon Park,Robbery,1.0,2020-12-01
Bancroft,Aggravated Assault,0.0,2020-12-01
Bancroft,Arson,0.0,2020-12-01
Bancroft,Auto Theft,2.0,2020-12-01
Bancroft,Burglary,1.0,2020-12-01
Bancroft,Homicide,0.0,2020-12-01
Bancroft,Larceny,7.0,2020-12-01
Bancroft,Rape,0.0,2020-12-01
Bancroft,Robbery,2.0,2020-12-01
Beltrami,Aggravated Assault,0.0,2020-12-01
Beltrami,Arson,0.0,2020-12-01
Beltrami,Auto Theft,2.0,2020-12-01
Beltrami,Burglary,0.0,2020-12-01
Beltrami,Homicide,0.0,2020-12-01
Beltrami,Larceny,4.0,2020-12-01
Beltrami,Rape,0.0,2020-12-01
Beltrami,Robbery,0.0,2020-12-01
Bottineau,Aggravated Assault,0.0,2020-12-01
Bottineau,Arson,0.0,2020-12-01
Bottineau,Auto Theft,2.0,2020-12-01
Bottineau,Burglary,2.0,2020-12-01
Bottineau,Homicide,0.0,2020-12-01
Bottineau,Larceny,9.0,2020-12-01
Bottineau,Rape,0.0,2020-12-01
Bottineau,Robbery,1.0,2020-12-01
Bryant,Aggravated Assault,0.0,2020-12-01
Bryant,Arson,0.0,2020-12-01
Bryant,Auto Theft,1.0,2020-12-01
Bryant,Burglary,5.0,2020-12-01
Bryant,Homicide,0.0,2020-12-01
Bryant,Larceny,6.0,2020-12-01
Bryant,Rape,0.0,2020-12-01
Bryant,Robbery,1.0,2020-12-01
Bryn - Mawr,Aggravated Assault,0.0,2020-12-01
Bryn - Mawr,Arson,0.0,2020-12-01
Bryn - Mawr,Auto Theft,0.0,2020-12-01
Bryn - Mawr,Burglary,1.0,2020-12-01
Bryn - Mawr,Homicide,0.0,2020-12-01
Bryn - Mawr,Larceny,1.0,2020-12-01
Bryn - Mawr,Rape,0.0,2020-12-01
Bryn - Mawr,Robbery,0.0,2020-12-01
South Uptown,Aggravated Assault,2.0,2020-12-01
South Uptown,Arson,0.0,2020-12-01
South Uptown,Auto Theft,1.0,2020-12-01
South Uptown,Burglary,5.0,2020-12-01
South Uptown,Homicide,0.0,2020-12-01
South Uptown,Larceny,14.0,2020-12-01
South Uptown,Rape,0.0,2020-12-01
South Uptown,Robbery,1.0,2020-12-01
Camden Industrial,Aggravated Assault,0.0,2020-12-01
Camden Industrial,Arson,0.0,2020-12-01
Camden Industrial,Auto Theft,2.0,2020-12-01
Camden Industrial,Burglary,0.0,2020-12-01
Camden Industrial,Homicide,0.0,2020-12-01
Camden Industrial,Larceny,0.0,2020-12-01
Camden Industrial,Rape,0.0,2020-12-01
Camden Industrial,Robbery,0.0,2020-12-01
Cedar - Isles - Dean,Aggravated Assault,0.0,2020-12-01
Cedar - Isles - Dean,Arson,0.0,2020-12-01
Cedar - Isles - Dean,Auto Theft,0.0,2020-12-01
Cedar - Isles - Dean,Burglary,5.0,2020-12-01
Cedar - Isles - Dean,Homicide,0.0,2020-12-01
Cedar - Isles - Dean,Larceny,8.0,2020-12-01
Cedar - Isles - Dean,Rape,0.0,2020-12-01
Cedar - Isles - Dean,Robbery,0.0,2020-12-01
Cedar Riverside,Aggravated Assault,1.0,2020-12-01
Cedar Riverside,Arson,0.0,2020-12-01
Cedar Riverside,Auto Theft,9.0,2020-12-01
Cedar Riverside,Burglary,2.0,2020-12-01
Cedar Riverside,Homicide,0.0,2020-12-01
Cedar Riverside,Larceny,14.0,2020-12-01
Cedar Riverside,Rape,1.0,2020-12-01
Cedar Riverside,Robbery,4.0,2020-12-01
Central,Aggravated Assault,5.0,2020-12-01
Central,Arson,0.0,2020-12-01
Central,Auto Theft,10.0,2020-12-01
Central,Burglary,10.0,2020-12-01
Central,Homicide,0.0,2020-12-01
Central,Larceny,15.0,2020-12-01
Central,Rape,1.0,2020-12-01
Central,Robbery,6.0,2020-12-01
Cleveland,Aggravated Assault,2.0,2020-12-01
Cleveland,Arson,0.0,2020-12-01
Cleveland,Auto Theft,5.0,2020-12-01
Cleveland,Burglary,1.0,2020-12-01
Cleveland,Homicide,0.0,2020-12-01
Cleveland,Larceny,4.0,2020-12-01
Cleveland,Rape,0.0,2020-12-01
Cleveland,Robbery,1.0,2020-12-01
Columbia Park,Aggravated Assault,1.0,2020-12-01
Columbia Park,Arson,0.0,2020-12-01
Columbia Park,Auto Theft,1.0,2020-12-01
Columbia Park,Burglary,0.0,2020-12-01
Columbia Park,Homicide,0.0,2020-12-01
Columbia Park,Larceny,3.0,2020-12-01
Columbia Park,Rape,0.0,2020-12-01
Columbia Park,Robbery,0.0,2020-12-01
Como,Aggravated Assault,1.0,2020-12-01
Como,Arson,0.0,2020-12-01
Como,Auto Theft,3.0,2020-12-01
Como,Burglary,4.0,2020-12-01
Como,Homicide,0.0,2020-12-01
Como,Larceny,18.0,2020-12-01
Como,Rape,0.0,2020-12-01
Como,Robbery,0.0,2020-12-01
Cooper,Aggravated Assault,0.0,2020-12-01
Cooper,Arson,0.0,2020-12-01
Cooper,Auto Theft,2.0,2020-12-01
Cooper,Burglary,2.0,2020-12-01
Cooper,Homicide,0.0,2020-12-01
Cooper,Larceny,8.0,2020-12-01
Cooper,Rape,0.0,2020-12-01
Cooper,Robbery,0.0,2020-12-01
Corcoran,Aggravated Assault,2.0,2020-12-01
Corcoran,Arson,1.0,2020-12-01
Corcoran,Auto Theft,3.0,2020-12-01
Corcoran,Burglary,4.0,2020-12-01
Corcoran,Homicide,0.0,2020-12-01
Corcoran,Larceny,9.0,2020-12-01
Corcoran,Rape,0.0,2020-12-01
Corcoran,Robbery,3.0,2020-12-01
Diamond Lake,Aggravated Assault,0.0,2020-12-01
Diamond Lake,Arson,0.0,2020-12-01
Diamond Lake,Auto Theft,0.0,2020-12-01
Diamond Lake,Burglary,2.0,2020-12-01
Diamond Lake,Homicide,0.0,2020-12-01
Diamond Lake,Larceny,2.0,2020-12-01
Diamond Lake,Rape,0.0,2020-12-01
Diamond Lake,Robbery,1.0,2020-12-01
Downtown East,Aggravated Assault,1.0,2020-12-01
Downtown East,Arson,0.0,2020-12-01
Downtown East,Auto Theft,2.0,2020-12-01
Downtown East,Burglary,2.0,2020-12-01
Downtown East,Homicide,0.0,2020-12-01
Downtown East,Larceny,13.0,2020-12-01
Downtown East,Rape,1.0,2020-12-01
Downtown East,Robbery,0.0,2020-12-01
Downtown West,Aggravated Assault,5.0,2020-12-01
Downtown West,Arson,0.0,2020-12-01
Downtown West,Auto Theft,6.0,2020-12-01
Downtown West,Burglary,6.0,2020-12-01
Downtown West,Homicide,0.0,2020-12-01
Downtown West,Larceny,43.0,2020-12-01
Downtown West,Rape,2.0,2020-12-01
Downtown West,Robbery,1.0,2020-12-01
East Bde Maka Ska,Aggravated Assault,0.0,2020-12-01
East Bde Maka Ska,Arson,0.0,2020-12-01
East Bde Maka Ska,Auto Theft,0.0,2020-12-01
East Bde Maka Ska,Burglary,1.0,2020-12-01
East Bde Maka Ska,Homicide,0.0,2020-12-01
East Bde Maka Ska,Larceny,2.0,2020-12-01
East Bde Maka Ska,Rape,0.0,2020-12-01
East Bde Maka Ska,Robbery,0.0,2020-12-01
East Harriet,Aggravated Assault,0.0,2020-12-01
East Harriet,Arson,0.0,2020-12-01
East Harriet,Auto Theft,2.0,2020-12-01
East Harriet,Burglary,4.0,2020-12-01
East Harriet,Homicide,0.0,2020-12-01
East Harriet,Larceny,5.0,2020-12-01
East Harriet,Rape,1.0,2020-12-01
East Harriet,Robbery,0.0,2020-12-01
East Isles,Aggravated Assault,1.0,2020-12-01
East Isles,Arson,0.0,2020-12-01
East Isles,Auto Theft,6.0,2020-12-01
East Isles,Burglary,8.0,2020-12-01
East Isles,Homicide,0.0,2020-12-01
East Isles,Larceny,16.0,2020-12-01
East Isles,Rape,0.0,2020-12-01
East Isles,Robbery,2.0,2020-12-01
East Phillips,Aggravated Assault,5.0,2020-12-01
East Phillips,Arson,0.0,2020-12-01
East Phillips,Auto Theft,15.0,2020-12-01
East Phillips,Burglary,2.0,2020-12-01
East Phillips,Homicide,1.0,2020-12-01
East Phillips,Larceny,14.0,2020-12-01
East Phillips,Rape,1.0,2020-12-01
East Phillips,Robbery,1.0,2020-12-01
Elliot Park,Aggravated Assault,8.0,2020-12-01
Elliot Park,Arson,0.0,2020-12-01
Elliot Park,Auto Theft,6.0,2020-12-01
Elliot Park,Burglary,12.0,2020-12-01
Elliot Park,Homicide,0.0,2020-12-01
Elliot Park,Larceny,27.0,2020-12-01
Elliot Park,Rape,1.0,2020-12-01
Elliot Park,Robbery,2.0,2020-12-01
Ericsson,Aggravated Assault,2.0,2020-12-01
Ericsson,Arson,0.0,2020-12-01
Ericsson,Auto Theft,1.0,2020-12-01
Ericsson,Burglary,5.0,2020-12-01
Ericsson,Homicide,0.0,2020-12-01
Ericsson,Larceny,5.0,2020-12-01
Ericsson,Rape,0.0,2020-12-01
Ericsson,Robbery,2.0,2020-12-01
Field,Aggravated Assault,0.0,2020-12-01
Field,Arson,0.0,2020-12-01
Field,Auto Theft,2.0,2020-12-01
Field,Burglary,1.0,2020-12-01
Field,Homicide,0.0,2020-12-01
Field,Larceny,2.0,2020-12-01
Field,Rape,0.0,2020-12-01
Field,Robbery,1.0,2020-12-01
Folwell,Aggravated Assault,4.0,2020-12-01
Folwell,Arson,0.0,2020-12-01
Folwell,Auto Theft,8.0,2020-12-01
Folwell,Burglary,3.0,2020-12-01
Folwell,Homicide,0.0,2020-12-01
Folwell,Larceny,4.0,2020-12-01
Folwell,Rape,0.0,2020-12-01
Folwell,Robbery,1.0,2020-12-01
Fulton,Aggravated Assault,0.0,2020-12-01
Fulton,Arson,0.0,2020-12-01
Fulton,Auto Theft,2.0,2020-12-01
Fulton,Burglary,1.0,2020-12-01
Fulton,Homicide,0.0,2020-12-01
Fulton,Larceny,3.0,2020-12-01
Fulton,Rape,0.0,2020-12-01
Fulton,Robbery,0.0,2020-12-01
Hale,Aggravated Assault,0.0,2020-12-01
Hale,Arson,0.0,2020-12-01
Hale,Auto Theft,0.0,2020-12-01
Hale,Burglary,2.0,2020-12-01
Hale,Homicide,0.0,2020-12-01
Hale,Larceny,1.0,2020-12-01
Hale,Rape,0.0,2020-12-01
Hale,Robbery,1.0,2020-12-01
Harrison,Aggravated Assault,1.0,2020-12-01
Harrison,Arson,0.0,2020-12-01
Harrison,Auto Theft,3.0,2020-12-01
Harrison,Burglary,2.0,2020-12-01
Harrison,Homicide,0.0,2020-12-01
Harrison,Larceny,8.0,2020-12-01
Harrison,Rape,0.0,2020-12-01
Harrison,Robbery,1.0,2020-12-01
Hawthorne,Aggravated Assault,8.0,2020-12-01
Hawthorne,Arson,0.0,2020-12-01
Hawthorne,Auto Theft,3.0,2020-12-01
Hawthorne,Burglary,3.0,2020-12-01
Hawthorne,Homicide,0.0,2020-12-01
Hawthorne,Larceny,20.0,2020-12-01
Hawthorne,Rape,1.0,2020-12-01
Hawthorne,Robbery,7.0,2020-12-01
Hiawatha,Aggravated Assault,0.0,2020-12-01
Hiawatha,Arson,0.0,2020-12-01
Hiawatha,Auto Theft,1.0,2020-12-01
Hiawatha,Burglary,2.0,2020-12-01
Hiawatha,Homicide,0.0,2020-12-01
Hiawatha,Larceny,21.0,2020-12-01
Hiawatha,Rape,1.0,2020-12-01
Hiawatha,Robbery,0.0,2020-12-01
Holland,Aggravated Assault,0.0,2020-12-01
Holland,Arson,0.0,2020-12-01
Holland,Auto Theft,5.0,2020-12-01
Holland,Burglary,1.0,2020-12-01
Holland,Homicide,0.0,2020-12-01
Holland,Larceny,8.0,2020-12-01
Holland,Rape,0.0,2020-12-01
Holland,Robbery,2.0,2020-12-01
Howe,Aggravated Assault,0.0,2020-12-01
Howe,Arson,0.0,2020-12-01
Howe,Auto Theft,9.0,2020-12-01
Howe,Burglary,4.0,2020-12-01
Howe,Homicide,0.0,2020-12-01
Howe,Larceny,11.0,2020-12-01
Howe,Rape,0.0,2020-12-01
Howe,Robbery,0.0,2020-12-01
Humboldt Industrial Area,Aggravated Assault,0.0,2020-12-01
Humboldt Industrial Area,Arson,0.0,2020-12-01
Humboldt Industrial Area,Auto Theft,0.0,2020-12-01
Humboldt Industrial Area,Burglary,0.0,2020-12-01
Humboldt Industrial Area,Homicide,0.0,2020-12-01
Humboldt Industrial Area,Larceny,0.0,2020-12-01
Humboldt Industrial Area,Rape,0.0,2020-12-01
Humboldt Industrial Area,Robbery,0.0,2020-12-01
Jordan,Aggravated Assault,12.0,2020-12-01
Jordan,Arson,0.0,2020-12-01
Jordan,Auto Theft,11.0,2020-12-01
Jordan,Burglary,1.0,2020-12-01
Jordan,Homicide,0.0,2020-12-01
Jordan,Larceny,14.0,2020-12-01
Jordan,Rape,2.0,2020-12-01
Jordan,Robbery,2.0,2020-12-01
Keewaydin,Aggravated Assault,0.0,2020-12-01
Keewaydin,Arson,0.0,2020-12-01
Keewaydin,Auto Theft,2.0,2020-12-01
Keewaydin,Burglary,3.0,2020-12-01
Keewaydin,Homicide,0.0,2020-12-01
Keewaydin,Larceny,7.0,2020-12-01
Keewaydin,Rape,0.0,2020-12-01
Keewaydin,Robbery,0.0,2020-12-01
Kenny,Aggravated Assault,0.0,2020-12-01
Kenny,Arson,0.0,2020-12-01
Kenny,Auto Theft,0.0,2020-12-01
Kenny,Burglary,1.0,2020-12-01
Kenny,Homicide,0.0,2020-12-01
Kenny,Larceny,3.0,2020-12-01
Kenny,Rape,0.0,2020-12-01
Kenny,Robbery,0.0,2020-12-01
Kenwood,Aggravated Assault,0.0,2020-12-01
Kenwood,Arson,0.0,2020-12-01
Kenwood,Auto Theft,0.0,2020-12-01
Kenwood,Burglary,1.0,2020-12-01
Kenwood,Homicide,0.0,2020-12-01
Kenwood,Larceny,0.0,2020-12-01
Kenwood,Rape,0.0,2020-12-01
Kenwood,Robbery,0.0,2020-12-01
King Field,Aggravated Assault,0.0,2020-12-01
King Field,Arson,0.0,2020-12-01
King Field,Auto Theft,8.0,2020-12-01
King Field,Burglary,5.0,2020-12-01
King Field,Homicide,0.0,2020-12-01
King Field,Larceny,12.0,2020-12-01
King Field,Rape,0.0,2020-12-01
King Field,Robbery,1.0,2020-12-01
Lind - Bohanon,Aggravated Assault,4.0,2020-12-01
Lind - Bohanon,Arson,0.0,2020-12-01
Lind - Bohanon,Auto Theft,2.0,2020-12-01
Lind - Bohanon,Burglary,7.0,2020-12-01
Lind - Bohanon,Homicide,0.0,2020-12-01
Lind - Bohanon,Larceny,4.0,2020-12-01
Lind - Bohanon,Rape,2.0,2020-12-01
Lind - Bohanon,Robbery,1.0,2020-12-01
Linden Hills,Aggravated Assault,1.0,2020-12-01
Linden Hills,Arson,0.0,2020-12-01
Linden Hills,Auto Theft,0.0,2020-12-01
Linden Hills,Burglary,2.0,2020-12-01
Linden Hills,Homicide,0.0,2020-12-01
Linden Hills,Larceny,5.0,2020-12-01
Linden Hills,Rape,0.0,2020-12-01
Linden Hills,Robbery,0.0,2020-12-01
Logan Park,Aggravated Assault,0.0,2020-12-01
Logan Park,Arson,0.0,2020-12-01
Logan Park,Auto Theft,1.0,2020-12-01
Logan Park,Burglary,1.0,2020-12-01
Logan Park,Homicide,0.0,2020-12-01
Logan Park,Larceny,3.0,2020-12-01
Logan Park,Rape,0.0,2020-12-01
Logan Park,Robbery,1.0,2020-12-01
Longfellow,Aggravated Assault,0.0,2020-12-01
Longfellow,Arson,0.0,2020-12-01
Longfellow,Auto Theft,6.0,2020-12-01
Longfellow,Burglary,2.0,2020-12-01
Longfellow,Homicide,0.0,2020-12-01
Longfellow,Larceny,22.0,2020-12-01
Longfellow,Rape,0.0,2020-12-01
Longfellow,Robbery,3.0,2020-12-01
Loring Park,Aggravated Assault,2.0,2020-12-01
Loring Park,Arson,0.0,2020-12-01
Loring Park,Auto Theft,4.0,2020-12-01
Loring Park,Burglary,8.0,2020-12-01
Loring Park,Homicide,0.0,2020-12-01
Loring Park,Larceny,15.0,2020-12-01
Loring Park,Rape,2.0,2020-12-01
Loring Park,Robbery,2.0,2020-12-01
Lowry Hill,Aggravated Assault,0.0,2020-12-01
Lowry Hill,Arson,0.0,2020-12-01
Lowry Hill,Auto Theft,3.0,2020-12-01
Lowry Hill,Burglary,5.0,2020-12-01
Lowry Hill,Homicide,0.0,2020-12-01
Lowry Hill,Larceny,4.0,2020-12-01
Lowry Hill,Rape,0.0,2020-12-01
Lowry Hill,Robbery,1.0,2020-12-01
Lowry Hill East,Aggravated Assault,5.0,2020-12-01
Lowry Hill East,Arson,0.0,2020-12-01
Lowry Hill East,Auto Theft,6.0,2020-12-01
Lowry Hill East,Burglary,7.0,2020-12-01
Lowry Hill East,Homicide,0.0,2020-12-01
Lowry Hill East,Larceny,24.0,2020-12-01
Lowry Hill East,Rape,3.0,2020-12-01
Lowry Hill East,Robbery,2.0,2020-12-01
Lyndale,Aggravated Assault,2.0,2020-12-01
Lyndale,Arson,0.0,2020-12-01
Lyndale,Auto Theft,2.0,2020-12-01
Lyndale,Burglary,2.0,2020-12-01
Lyndale,Homicide,0.0,2020-12-01
Lyndale,Larceny,12.0,2020-12-01
Lyndale,Rape,1.0,2020-12-01
Lyndale,Robbery,7.0,2020-12-01
Lynnhurst,Aggravated Assault,0.0,2020-12-01
Lynnhurst,Arson,0.0,2020-12-01
Lynnhurst,Auto Theft,2.0,2020-12-01
Lynnhurst,Burglary,1.0,2020-12-01
Lynnhurst,Homicide,0.0,2020-12-01
Lynnhurst,Larceny,10.0,2020-12-01
Lynnhurst,Rape,0.0,2020-12-01
Lynnhurst,Robbery,0.0,2020-12-01
Marcy Holmes,Aggravated Assault,7.0,2020-12-01
Marcy Holmes,Arson,0.0,2020-12-01
Marcy Holmes,Auto Theft,19.0,2020-12-01
Marcy Holmes,Burglary,15.0,2020-12-01
Marcy Holmes,Homicide,0.0,2020-12-01
Marcy Holmes,Larceny,35.0,2020-12-01
Marcy Holmes,Rape,1.0,2020-12-01
Marcy Holmes,Robbery,4.0,2020-12-01
Marshall Terrace,Aggravated Assault,1.0,2020-12-01
Marshall Terrace,Arson,0.0,2020-12-01
Marshall Terrace,Auto Theft,0.0,2020-12-01
Marshall Terrace,Burglary,0.0,2020-12-01
Marshall Terrace,Homicide,0.0,2020-12-01
Marshall Terrace,Larceny,5.0,2020-12-01
Marshall Terrace,Rape,0.0,2020-12-01
Marshall Terrace,Robbery,0.0,2020-12-01
McKinley,Aggravated Assault,5.0,2020-12-01
McKinley,Arson,0.0,2020-12-01
McKinley,Auto Theft,8.0,2020-12-01
McKinley,Burglary,4.0,2020-12-01
McKinley,Homicide,1.0,2020-12-01
McKinley,Larceny,3.0,2020-12-01
McKinley,Rape,0.0,2020-12-01
McKinley,Robbery,1.0,2020-12-01
Mid - City Industrial,Aggravated Assault,0.0,2020-12-01
Mid - City Industrial,Arson,0.0,2020-12-01
Mid - City Industrial,Auto Theft,1.0,2020-12-01
Mid - City Industrial,Burglary,0.0,2020-12-01
Mid - City Industrial,Homicide,0.0,2020-12-01
Mid - City Industrial,Larceny,7.0,2020-12-01
Mid - City Industrial,Rape,0.0,2020-12-01
Mid - City Industrial,Robbery,0.0,2020-12-01
Midtown Phillips,Aggravated Assault,3.0,2020-12-01
Midtown Phillips,Arson,1.0,2020-12-01
Midtown Phillips,Auto Theft,12.0,2020-12-01
Midtown Phillips,Burglary,14.0,2020-12-01
Midtown Phillips,Homicide,0.0,2020-12-01
Midtown Phillips,Larceny,10.0,2020-12-01
Midtown Phillips,Rape,0.0,2020-12-01
Midtown Phillips,Robbery,9.0,2020-12-01
Minnehaha,Aggravated Assault,1.0,2020-12-01
Minnehaha,Arson,0.0,2020-12-01
Minnehaha,Auto Theft,3.0,2020-12-01
Minnehaha,Burglary,2.0,2020-12-01
Minnehaha,Homicide,0.0,2020-12-01
Minnehaha,Larceny,6.0,2020-12-01
Minnehaha,Rape,0.0,2020-12-01
Minnehaha,Robbery,0.0,2020-12-01
Morris Park,Aggravated Assault,0.0,2020-12-01
Morris Park,Arson,0.0,2020-12-01
Morris Park,Auto Theft,4.0,2020-12-01
Morris Park,Burglary,0.0,2020-12-01
Morris Park,Homicide,0.0,2020-12-01
Morris Park,Larceny,5.0,2020-12-01
Morris Park,Rape,0.0,2020-12-01
Morris Park,Robbery,0.0,2020-12-01
Near - North,Aggravated Assault,5.0,2020-12-01
Near - North,Arson,0.0,2020-12-01
Near - North,Auto Theft,5.0,2020-12-01
Near - North,Burglary,2.0,2020-12-01
Near - North,Homicide,0.0,2020-12-01
Near - North,Larceny,7.0,2020-12-01
Near - North,Rape,0.0,2020-12-01
Near - North,Robbery,2.0,2020-12-01
Nicollet Island - East Bank,Aggravated Assault,0.0,2020-12-01
Nicollet Island - East Bank,Arson,0.0,2020-12-01
Nicollet Island - East Bank,Auto Theft,0.0,2020-12-01
