Neighborhood,Crime,Number of Cases,Date
East Isles,Burglary,1.0,2018-01-01
East Isles,Homicide,0.0,2018-01-01
East Isles,Larceny,13.0,2018-01-01
East Isles,Rape,0.0,2018-01-01
East Isles,Robbery,2.0,2018-01-01
East Phillips,Aggravated Assault,2.0,2018-01-01
East Phillips,Arson,0.0,2018-01-01
East Phillips,Auto Theft,4.0,2018-01-01
East Phillips,Burglary,5.0,2018-01-01
East Phillips,Homicide,0.0,2018-01-01
East Phillips,Larceny,6.0,2018-01-01
East Phillips,Rape,0.0,2018-01-01
East Phillips,Robbery,2.0,2018-01-01
East Bde Maka Ska,Aggravated Assault,0.0,2018-01-01
East Bde Maka Ska,Arson,0.0,2018-01-01
East Bde Maka Ska,Auto Theft,1.0,2018-01-01
East Bde Maka Ska,Burglary,0.0,2018-01-01
East Bde Maka Ska,Homicide,0.0,2018-01-01
East Bde Maka Ska,Larceny,9.0,2018-01-01
East Bde Maka Ska,Rape,0.0,2018-01-01
East Bde Maka Ska,Robbery,1.0,2018-01-01
Elliot Park,Aggravated Assault,4.0,2018-01-01
Elliot Park,Arson,0.0,2018-01-01
Elliot Park,Auto Theft,4.0,2018-01-01
Elliot Park,Burglary,2.0,2018-01-01
Elliot Park,Homicide,0.0,2018-01-01
Elliot Park,Larceny,23.0,2018-01-01
Elliot Park,Rape,2.0,2018-01-01
Elliot Park,Robbery,0.0,2018-01-01
Ericsson,Aggravated Assault,0.0,2018-01-01
Ericsson,Arson,0.0,2018-01-01
Ericsson,Auto Theft,1.0,2018-01-01
Ericsson,Burglary,1.0,2018-01-01
Ericsson,Homicide,0.0,2018-01-01
Ericsson,Larceny,3.0,2018-01-01
Ericsson,Rape,0.0,2018-01-01
Ericsson,Robbery,0.0,2018-01-01
Field,Aggravated Assault,0.0,2018-01-01
Field,Arson,0.0,2018-01-01
Field,Auto Theft,0.0,2018-01-01
Field,Burglary,3.0,2018-01-01
Field,Homicide,0.0,2018-01-01
Field,Larceny,1.0,2018-01-01
Field,Rape,0.0,2018-01-01
Field,Robbery,0.0,2018-01-01
Folwell,Aggravated Assault,7.0,2018-01-01
Folwell,Arson,0.0,2018-01-01
Folwell,Auto Theft,6.0,2018-01-01
Folwell,Burglary,4.0,2018-01-01
Folwell,Homicide,0.0,2018-01-01
Folwell,Larceny,8.0,2018-01-01
Folwell,Rape,1.0,2018-01-01
Folwell,Robbery,4.0,2018-01-01
Fulton,Aggravated Assault,0.0,2018-01-01
Fulton,Arson,0.0,2018-01-01
Fulton,Auto Theft,1.0,2018-01-01
Fulton,Burglary,0.0,2018-01-01
Fulton,Homicide,0.0,2018-01-01
Fulton,Larceny,6.0,2018-01-01
Fulton,Rape,0.0,2018-01-01
Fulton,Robbery,0.0,2018-01-01
Hale,Aggravated Assault,1.0,2018-01-01
Hale,Arson,0.0,2018-01-01
Hale,Auto Theft,0.0,2018-01-01
Hale,Burglary,0.0,2018-01-01
Hale,Homicide,0.0,2018-01-01
Hale,Larceny,3.0,2018-01-01
Hale,Rape,0.0,2018-01-01
Hale,Robbery,0.0,2018-01-01
Harrison,Aggravated Assault,1.0,2018-01-01
Harrison,Arson,0.0,2018-01-01
Harrison,Auto Theft,3.0,2018-01-01
Harrison,Burglary,4.0,2018-01-01
Harrison,Homicide,0.0,2018-01-01
Harrison,Larceny,5.0,2018-01-01
Harrison,Rape,0.0,2018-01-01
Harrison,Robbery,0.0,2018-01-01
Hawthorne,Aggravated Assault,4.0,2018-01-01
Hawthorne,Arson,1.0,2018-01-01
Hawthorne,Auto Theft,10.0,2018-01-01
Hawthorne,Burglary,5.0,2018-01-01
Hawthorne,Homicide,0.0,2018-01-01
Hawthorne,Larceny,16.0,2018-01-01
Hawthorne,Rape,1.0,2018-01-01
Hawthorne,Robbery,0.0,2018-01-01
Hiawatha,Aggravated Assault,0.0,2018-01-01
Hiawatha,Arson,0.0,2018-01-01
Hiawatha,Auto Theft,6.0,2018-01-01
Hiawatha,Burglary,2.0,2018-01-01
Hiawatha,Homicide,0.0,2018-01-01
Hiawatha,Larceny,13.0,2018-01-01
Hiawatha,Rape,0.0,2018-01-01
Hiawatha,Robbery,1.0,2018-01-01
Holland,Aggravated Assault,3.0,2018-01-01
Holland,Arson,0.0,2018-01-01
Holland,Auto Theft,5.0,2018-01-01
Holland,Burglary,9.0,2018-01-01
Holland,Homicide,0.0,2018-01-01
Holland,Larceny,8.0,2018-01-01
Holland,Rape,3.0,2018-01-01
Holland,Robbery,3.0,2018-01-01
Howe,Aggravated Assault,0.0,2018-01-01
Howe,Arson,0.0,2018-01-01
Howe,Auto Theft,3.0,2018-01-01
Howe,Burglary,1.0,2018-01-01
Howe,Homicide,0.0,2018-01-01
Howe,Larceny,10.0,2018-01-01
Howe,Rape,0.0,2018-01-01
Howe,Robbery,0.0,2018-01-01
Humboldt Industrial Area,Aggravated Assault,0.0,2018-01-01
Humboldt Industrial Area,Arson,0.0,2018-01-01
Humboldt Industrial Area,Auto Theft,0.0,2018-01-01
Humboldt Industrial Area,Burglary,0.0,2018-01-01
Humboldt Industrial Area,Homicide,0.0,2018-01-01
Humboldt Industrial Area,Larceny,0.0,2018-01-01
Humboldt Industrial Area,Rape,0.0,2018-01-01
Humboldt Industrial Area,Robbery,0.0,2018-01-01
Jordan,Aggravated Assault,12.0,2018-01-01
Jordan,Arson,1.0,2018-01-01
Jordan,Auto Theft,9.0,2018-01-01
Jordan,Burglary,9.0,2018-01-01
Jordan,Homicide,1.0,2018-01-01
Jordan,Larceny,14.0,2018-01-01
Jordan,Rape,1.0,2018-01-01
Jordan,Robbery,6.0,2018-01-01
Keewaydin,Aggravated Assault,2.0,2018-01-01
Keewaydin,Arson,0.0,2018-01-01
Keewaydin,Auto Theft,3.0,2018-01-01
Keewaydin,Burglary,1.0,2018-01-01
Keewaydin,Homicide,0.0,2018-01-01
Keewaydin,Larceny,3.0,2018-01-01
Keewaydin,Rape,0.0,2018-01-01
Keewaydin,Robbery,0.0,2018-01-01
Kenny,Aggravated Assault,0.0,2018-01-01
Kenny,Arson,0.0,2018-01-01
Kenny,Auto Theft,2.0,2018-01-01
