Date,Neighborhood,Crime,Number of Cases
12/2021,Holland,Aggravated Assault,3.0
12/2021,Holland,Arson,0.0
12/2021,Holland,Auto Theft,5.0
12/2021,Holland,Burglary,1.0
12/2021,Holland,Homicide,0.0
12/2021,Holland,Larceny,12.0
12/2021,Holland,Rape,0.0
12/2021,Holland,Robbery,6.0
12/2021,Howe,Aggravated Assault,0.0
12/2021,Howe,Arson,0.0
12/2021,Howe,Auto Theft,9.0
12/2021,Howe,Burglary,5.0
12/2021,Howe,Homicide,0.0
12/2021,Howe,Larceny,9.0
12/2021,Howe,Rape,0.0
12/2021,Howe,Robbery,0.0
12/2021,Humboldt Industrial Area,Aggravated Assault,0.0
12/2021,Humboldt Industrial Area,Arson,0.0
12/2021,Humboldt Industrial Area,Auto Theft,0.0
12/2021,Humboldt Industrial Area,Burglary,0.0
12/2021,Humboldt Industrial Area,Homicide,0.0
12/2021,Humboldt Industrial Area,Larceny,0.0
12/2021,Humboldt Industrial Area,Rape,0.0
12/2021,Humboldt Industrial Area,Robbery,0.0
12/2021,Jordan,Aggravated Assault,10.0
12/2021,Jordan,Arson,0.0
12/2021,Jordan,Auto Theft,6.0
12/2021,Jordan,Burglary,5.0
12/2021,Jordan,Homicide,1.0
12/2021,Jordan,Larceny,10.0
12/2021,Jordan,Rape,0.0
12/2021,Jordan,Robbery,5.0
12/2021,Keewaydin,Aggravated Assault,0.0
12/2021,Keewaydin,Arson,0.0
12/2021,Keewaydin,Auto Theft,0.0
12/2021,Keewaydin,Burglary,2.0
12/2021,Keewaydin,Homicide,0.0
12/2021,Keewaydin,Larceny,9.0
12/2021,Keewaydin,Rape,0.0
12/2021,Keewaydin,Robbery,0.0
12/2021,Kenny,Aggravated Assault,0.0
12/2021,Kenny,Arson,0.0
12/2021,Kenny,Auto Theft,1.0
12/2021,Kenny,Burglary,2.0
12/2021,Kenny,Homicide,0.0
12/2021,Kenny,Larceny,2.0
12/2021,Kenny,Rape,0.0
12/2021,Kenny,Robbery,0.0
12/2021,Kenwood,Aggravated Assault,0.0
12/2021,Kenwood,Arson,0.0
12/2021,Kenwood,Auto Theft,3.0
12/2021,Kenwood,Burglary,3.0
12/2021,Kenwood,Homicide,0.0
12/2021,Kenwood,Larceny,1.0
12/2021,Kenwood,Rape,0.0
12/2021,Kenwood,Robbery,0.0
12/2021,King Field,Aggravated Assault,2.0
12/2021,King Field,Arson,0.0
12/2021,King Field,Auto Theft,7.0
12/2021,King Field,Burglary,3.0
12/2021,King Field,Homicide,0.0
12/2021,King Field,Larceny,11.0
12/2021,King Field,Rape,0.0
12/2021,King Field,Robbery,2.0
12/2021,Lind - Bohanon,Aggravated Assault,4.0
12/2021,Lind - Bohanon,Arson,0.0
12/2021,Lind - Bohanon,Auto Theft,7.0
12/2021,Lind - Bohanon,Burglary,2.0
12/2021,Lind - Bohanon,Homicide,1.0
12/2021,Lind - Bohanon,Larceny,2.0
12/2021,Lind - Bohanon,Rape,1.0
12/2021,Lind - Bohanon,Robbery,0.0
12/2021,Linden Hills,Aggravated Assault,0.0
12/2021,Linden Hills,Arson,0.0
12/2021,Linden Hills,Auto Theft,3.0
12/2021,Linden Hills,Burglary,0.0
12/2021,Linden Hills,Homicide,0.0
12/2021,Linden Hills,Larceny,6.0
12/2021,Linden Hills,Rape,1.0
12/2021,Linden Hills,Robbery,3.0
12/2021,Logan Park,Aggravated Assault,1.0
12/2021,Logan Park,Arson,0.0
12/2021,Logan Park,Auto Theft,1.0
12/2021,Logan Park,Burglary,1.0
12/2021,Logan Park,Homicide,0.0
12/2021,Logan Park,Larceny,7.0
12/2021,Logan Park,Rape,1.0
12/2021,Logan Park,Robbery,0.0
12/2021,Longfellow,Aggravated Assault,1.0
12/2021,Longfellow,Arson,1.0
12/2021,Longfellow,Auto Theft,9.0
12/2021,Longfellow,Burglary,3.0
12/2021,Longfellow,Homicide,0.0
12/2021,Longfellow,Larceny,21.0
12/2021,Longfellow,Rape,0.0
12/2021,Longfellow,Robbery,2.0
12/2021,Loring Park,Aggravated Assault,10.0
12/2021,Loring Park,Arson,0.0
12/2021,Loring Park,Auto Theft,17.0
12/2021,Loring Park,Burglary,3.0
12/2021,Loring Park,Homicide,0.0
12/2021,Loring Park,Larceny,28.0
12/2021,Loring Park,Rape,1.0
12/2021,Loring Park,Robbery,2.0
12/2021,Lowry Hill,Aggravated Assault,1.0
12/2021,Lowry Hill,Arson,0.0
12/2021,Lowry Hill,Auto Theft,4.0
12/2021,Lowry Hill,Burglary,6.0
12/2021,Lowry Hill,Homicide,0.0
12/2021,Lowry Hill,Larceny,13.0
12/2021,Lowry Hill,Rape,0.0
12/2021,Lowry Hill,Robbery,8.0
12/2021,Lowry Hill East,Aggravated Assault,4.0
12/2021,Lowry Hill East,Arson,0.0
12/2021,Lowry Hill East,Auto Theft,22.0
12/2021,Lowry Hill East,Burglary,9.0
12/2021,Lowry Hill East,Homicide,0.0
12/2021,Lowry Hill East,Larceny,41.0
12/2021,Lowry Hill East,Rape,3.0
12/2021,Lowry Hill East,Robbery,8.0
12/2021,Lyndale,Aggravated Assault,1.0
12/2021,Lyndale,Arson,0.0
12/2021,Lyndale,Auto Theft,7.0
12/2021,Lyndale,Burglary,1.0
12/2021,Lyndale,Homicide,0.0
12/2021,Lyndale,Larceny,13.0
12/2021,Lyndale,Rape,0.0
12/2021,Lyndale,Robbery,3.0
12/2021,Lynnhurst,Aggravated Assault,0.0
12/2021,Lynnhurst,Arson,0.0
12/2021,Lynnhurst,Auto Theft,2.0
12/2021,Lynnhurst,Burglary,2.0
12/2021,Lynnhurst,Homicide,0.0
12/2021,Lynnhurst,Larceny,4.0
12/2021,Lynnhurst,Rape,0.0
12/2021,Lynnhurst,Robbery,1.0
12/2021,Marcy Holmes,Aggravated Assault,4.0
12/2021,Marcy Holmes,Arson,0.0
12/2021,Marcy Holmes,Auto Theft,15.0
12/2021,Marcy Holmes,Burglary,9.0
12/2021,Marcy Holmes,Homicide,0.0
12/2021,Marcy Holmes,Larceny,35.0
12/2021,Marcy Holmes,Rape,1.0
12/2021,Marcy Holmes,Robbery,14.0
12/2021,Marshall Terrace,Aggravated Assault,2.0
12/2021,Marshall Terrace,Arson,0.0
12/2021,Marshall Terrace,Auto Theft,4.0
12/2021,Marshall Terrace,Burglary,1.0
12/2021,Marshall Terrace,Homicide,0.0
12/2021,Marshall Terrace,Larceny,3.0
12/2021,Marshall Terrace,Rape,0.0
12/2021,Marshall Terrace,Robbery,1.0
12/2021,McKinley,Aggravated Assault,3.0
12/2021,McKinley,Arson,0.0
12/2021,McKinley,Auto Theft,2.0
12/2021,McKinley,Burglary,1.0
12/2021,McKinley,Homicide,0.0
12/2021,McKinley,Larceny,5.0
12/2021,McKinley,Rape,0.0
12/2021,McKinley,Robbery,0.0
12/2021,Mid - City Industrial,Aggravated Assault,0.0
12/2021,Mid - City Industrial,Arson,0.0
12/2021,Mid - City Industrial,Auto Theft,6.0
12/2021,Mid - City Industrial,Burglary,1.0
12/2021,Mid - City Industrial,Homicide,0.0
12/2021,Mid - City Industrial,Larceny,6.0
12/2021,Mid - City Industrial,Rape,0.0
12/2021,Mid - City Industrial,Robbery,0.0
12/2021,Midtown Phillips,Aggravated Assault,8.0
12/2021,Midtown Phillips,Arson,0.0
