Date,Neighborhood,Crime,Number of Cases
5/2018,King Field,Burglary,10.0
5/2018,King Field,Homicide,0.0
5/2018,King Field,Larceny,14.0
5/2018,King Field,Rape,1.0
5/2018,King Field,Robbery,0.0
5/2018,Lind - Bohanon,Aggravated Assault,14.0
5/2018,Lind - Bohanon,Arson,0.0
5/2018,Lind - Bohanon,Auto Theft,1.0
5/2018,Lind - Bohanon,Burglary,5.0
5/2018,Lind - Bohanon,Homicide,0.0
5/2018,Lind - Bohanon,Larceny,6.0
5/2018,Lind - Bohanon,Rape,1.0
5/2018,Lind - Bohanon,Robbery,1.0
5/2018,Linden Hills,Aggravated Assault,0.0
5/2018,Linden Hills,Arson,0.0
5/2018,Linden Hills,Auto Theft,2.0
5/2018,Linden Hills,Burglary,2.0
5/2018,Linden Hills,Homicide,0.0
5/2018,Linden Hills,Larceny,9.0
5/2018,Linden Hills,Rape,0.0
5/2018,Linden Hills,Robbery,0.0
5/2018,Logan Park,Aggravated Assault,0.0
5/2018,Logan Park,Arson,0.0
5/2018,Logan Park,Auto Theft,0.0
5/2018,Logan Park,Burglary,1.0
5/2018,Logan Park,Homicide,0.0
5/2018,Logan Park,Larceny,5.0
5/2018,Logan Park,Rape,0.0
5/2018,Logan Park,Robbery,0.0
5/2018,Longfellow,Aggravated Assault,4.0
5/2018,Longfellow,Arson,0.0
5/2018,Longfellow,Auto Theft,3.0
5/2018,Longfellow,Burglary,5.0
5/2018,Longfellow,Homicide,0.0
5/2018,Longfellow,Larceny,42.0
5/2018,Longfellow,Rape,3.0
5/2018,Longfellow,Robbery,3.0
5/2018,Loring Park,Aggravated Assault,3.0
5/2018,Loring Park,Arson,0.0
5/2018,Loring Park,Auto Theft,4.0
5/2018,Loring Park,Burglary,1.0
5/2018,Loring Park,Homicide,0.0
5/2018,Loring Park,Larceny,44.0
5/2018,Loring Park,Rape,0.0
5/2018,Loring Park,Robbery,1.0
5/2018,Lowry Hill,Aggravated Assault,0.0
5/2018,Lowry Hill,Arson,0.0
5/2018,Lowry Hill,Auto Theft,0.0
5/2018,Lowry Hill,Burglary,1.0
5/2018,Lowry Hill,Homicide,0.0
5/2018,Lowry Hill,Larceny,11.0
5/2018,Lowry Hill,Rape,0.0
5/2018,Lowry Hill,Robbery,0.0
5/2018,Lowry Hill East,Aggravated Assault,3.0
5/2018,Lowry Hill East,Arson,0.0
5/2018,Lowry Hill East,Auto Theft,4.0
5/2018,Lowry Hill East,Burglary,4.0
5/2018,Lowry Hill East,Homicide,0.0
5/2018,Lowry Hill East,Larceny,37.0
5/2018,Lowry Hill East,Rape,2.0
5/2018,Lowry Hill East,Robbery,5.0
5/2018,Lyndale,Aggravated Assault,2.0
5/2018,Lyndale,Arson,0.0
5/2018,Lyndale,Auto Theft,5.0
5/2018,Lyndale,Burglary,9.0
5/2018,Lyndale,Homicide,0.0
5/2018,Lyndale,Larceny,24.0
5/2018,Lyndale,Rape,0.0
5/2018,Lyndale,Robbery,2.0
5/2018,Lynnhurst,Aggravated Assault,0.0
5/2018,Lynnhurst,Arson,0.0
5/2018,Lynnhurst,Auto Theft,0.0
5/2018,Lynnhurst,Burglary,1.0
5/2018,Lynnhurst,Homicide,0.0
5/2018,Lynnhurst,Larceny,8.0
5/2018,Lynnhurst,Rape,0.0
5/2018,Lynnhurst,Robbery,0.0
5/2018,Marcy Holmes,Aggravated Assault,1.0
5/2018,Marcy Holmes,Arson,0.0
5/2018,Marcy Holmes,Auto Theft,4.0
5/2018,Marcy Holmes,Burglary,6.0
5/2018,Marcy Holmes,Homicide,0.0
5/2018,Marcy Holmes,Larceny,38.0
5/2018,Marcy Holmes,Rape,0.0
5/2018,Marcy Holmes,Robbery,2.0
5/2018,Marshall Terrace,Aggravated Assault,2.0
5/2018,Marshall Terrace,Arson,0.0
5/2018,Marshall Terrace,Auto Theft,1.0
5/2018,Marshall Terrace,Burglary,0.0
5/2018,Marshall Terrace,Homicide,0.0
5/2018,Marshall Terrace,Larceny,1.0
5/2018,Marshall Terrace,Rape,0.0
5/2018,Marshall Terrace,Robbery,0.0
5/2018,McKinley,Aggravated Assault,4.0
5/2018,McKinley,Arson,1.0
5/2018,McKinley,Auto Theft,1.0
5/2018,McKinley,Burglary,4.0
5/2018,McKinley,Homicide,0.0
5/2018,McKinley,Larceny,2.0
5/2018,McKinley,Rape,0.0
5/2018,McKinley,Robbery,1.0
5/2018,Mid - City Industrial,Aggravated Assault,0.0
5/2018,Mid - City Industrial,Arson,0.0
5/2018,Mid - City Industrial,Auto Theft,1.0
5/2018,Mid - City Industrial,Burglary,0.0
5/2018,Mid - City Industrial,Homicide,0.0
5/2018,Mid - City Industrial,Larceny,9.0
5/2018,Mid - City Industrial,Rape,0.0
5/2018,Mid - City Industrial,Robbery,0.0
5/2018,Midtown Phillips,Aggravated Assault,3.0
5/2018,Midtown Phillips,Arson,0.0
5/2018,Midtown Phillips,Auto Theft,1.0
5/2018,Midtown Phillips,Burglary,5.0
5/2018,Midtown Phillips,Homicide,0.0
5/2018,Midtown Phillips,Larceny,12.0
5/2018,Midtown Phillips,Rape,2.0
5/2018,Midtown Phillips,Robbery,2.0
5/2018,Minnehaha,Aggravated Assault,0.0
5/2018,Minnehaha,Arson,1.0
5/2018,Minnehaha,Auto Theft,0.0
5/2018,Minnehaha,Burglary,5.0
5/2018,Minnehaha,Homicide,0.0
5/2018,Minnehaha,Larceny,5.0
5/2018,Minnehaha,Rape,0.0
5/2018,Minnehaha,Robbery,1.0
5/2018,Morris Park,Aggravated Assault,0.0
5/2018,Morris Park,Arson,0.0
5/2018,Morris Park,Auto Theft,0.0
5/2018,Morris Park,Burglary,2.0
5/2018,Morris Park,Homicide,0.0
5/2018,Morris Park,Larceny,6.0
5/2018,Morris Park,Rape,1.0
5/2018,Morris Park,Robbery,0.0
5/2018,Near - North,Aggravated Assault,5.0
5/2018,Near - North,Arson,0.0
5/2018,Near - North,Auto Theft,3.0
5/2018,Near - North,Burglary,5.0
5/2018,Near - North,Homicide,0.0
5/2018,Near - North,Larceny,12.0
5/2018,Near - North,Rape,1.0
5/2018,Near - North,Robbery,2.0
5/2018,Nicollet Island - East Bank,Aggravated Assault,1.0
5/2018,Nicollet Island - East Bank,Arson,0.0
5/2018,Nicollet Island - East Bank,Auto Theft,0.0
5/2018,Nicollet Island - East Bank,Burglary,0.0
5/2018,Nicollet Island - East Bank,Homicide,0.0
5/2018,Nicollet Island - East Bank,Larceny,12.0
5/2018,Nicollet Island - East Bank,Rape,1.0
5/2018,Nicollet Island - East Bank,Robbery,0.0
5/2018,North Loop,Aggravated Assault,3.0
5/2018,North Loop,Arson,0.0
5/2018,North Loop,Auto Theft,2.0
5/2018,North Loop,Burglary,3.0
5/2018,North Loop,Homicide,0.0
5/2018,North Loop,Larceny,26.0
5/2018,North Loop,Rape,0.0
5/2018,North Loop,Robbery,1.0
5/2018,Northeast Park,Aggravated Assault,0.0
5/2018,Northeast Park,Arson,0.0
5/2018,Northeast Park,Auto Theft,1.0
5/2018,Northeast Park,Burglary,0.0
5/2018,Northeast Park,Homicide,0.0
5/2018,Northeast Park,Larceny,4.0
5/2018,Northeast Park,Rape,0.0
5/2018,Northeast Park,Robbery,0.0
5/2018,Northrop,Aggravated Assault,1.0
5/2018,Northrop,Arson,0.0
5/2018,Northrop,Auto Theft,0.0
5/2018,Northrop,Burglary,2.0
5/2018,Northrop,Homicide,0.0
5/2018,Northrop,Larceny,7.0
5/2018,Northrop,Rape,0.0
