Date,Neighborhood,Crime,Number of Cases
4/2020,Kenny,Homicide,0.0
4/2020,Kenny,Larceny,3.0
4/2020,Kenny,Rape,0.0
4/2020,Kenny,Robbery,0.0
4/2020,Kenwood,Aggravated Assault,0.0
4/2020,Kenwood,Arson,0.0
4/2020,Kenwood,Auto Theft,1.0
4/2020,Kenwood,Burglary,0.0
4/2020,Kenwood,Homicide,0.0
4/2020,Kenwood,Larceny,2.0
4/2020,Kenwood,Rape,0.0
4/2020,Kenwood,Robbery,0.0
4/2020,King Field,Aggravated Assault,1.0
4/2020,King Field,Arson,0.0
4/2020,King Field,Auto Theft,5.0
4/2020,King Field,Burglary,9.0
4/2020,King Field,Homicide,0.0
4/2020,King Field,Larceny,12.0
4/2020,King Field,Rape,0.0
4/2020,King Field,Robbery,0.0
4/2020,Lind - Bohanon,Aggravated Assault,2.0
4/2020,Lind - Bohanon,Arson,0.0
4/2020,Lind - Bohanon,Auto Theft,4.0
4/2020,Lind - Bohanon,Burglary,2.0
4/2020,Lind - Bohanon,Homicide,0.0
4/2020,Lind - Bohanon,Larceny,6.0
4/2020,Lind - Bohanon,Rape,0.0
4/2020,Lind - Bohanon,Robbery,1.0
4/2020,Linden Hills,Aggravated Assault,0.0
4/2020,Linden Hills,Arson,0.0
4/2020,Linden Hills,Auto Theft,1.0
4/2020,Linden Hills,Burglary,1.0
4/2020,Linden Hills,Homicide,0.0
4/2020,Linden Hills,Larceny,3.0
4/2020,Linden Hills,Rape,0.0
4/2020,Linden Hills,Robbery,1.0
4/2020,Logan Park,Aggravated Assault,0.0
4/2020,Logan Park,Arson,0.0
4/2020,Logan Park,Auto Theft,2.0
4/2020,Logan Park,Burglary,5.0
4/2020,Logan Park,Homicide,0.0
4/2020,Logan Park,Larceny,0.0
4/2020,Logan Park,Rape,0.0
4/2020,Logan Park,Robbery,0.0
4/2020,Longfellow,Aggravated Assault,3.0
4/2020,Longfellow,Arson,0.0
4/2020,Longfellow,Auto Theft,9.0
4/2020,Longfellow,Burglary,6.0
